1.2,1.5,2.3,2.4,3.9,5.a,6.1,6.3,6.4,7.2,8.3,8.4,9.5,11.6,12.4,12.5,13.2,14.1,15.1,16.3
1.2,0,2,2,1,1,2,2,1,1,1,2,1,1,1,0,1,0,0,1,0
1.5,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2.3,3,1,0,1,-1,3,0,-2,-1,1,3,2,1,0,-1,1,0,-1,2,0
2.4,1,2,2,0,3,0,0,3,2,0,1,3,0,1,3,3,0,3,3,0
3.9,1,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0
5.a,3,1,3,1,0,0,2,0,0,0,3,-1,0,0,0,-1,0,0,1,0
6.1,2,2,2,1,2,1,0,2,2,0,0,1,0,1,1,1,0,1,1,0
6.3,1,1,2,1,3,0,2,0,2,0,1,0,0,1,0,0,0,3,3,0
6.4,3,3,2,2,2,1,3,3,0,0,0,3,0,3,0,0,0,2,2,0
7.2,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
8.3,2,2,2,2,1,3,0,0,1,0,0,1,1,1,1,1,0,1,1,0
8.4,2,0,3,3,2,0,3,3,3,1,1,0,1,2,2,3,0,3,3,0
9.5,1,2,2,2,2,1,1,2,2,3,1,2,0,2,2,2,0,2,2,0
11.6,2,3,0,1,3,0,3,3,3,1,1,3,0,0,3,3,0,3,3,0
12.4,0,1,0,2,3,0,0,3,1,0,0,2,2,2,0,3,0,2,2,0
12.5,1,3,1,1,2,0,2,3,1,1,1,3,0,3,3,0,2,3,2,0
13.2,1,2,1,2,1,1,1,2,2,1,0,2,2,0,0,1,0,1,3,0
14.1,1,2,1,2,2,0,0,3,0,0,0,0,0,1,1,2,0,0,1,0
15.1,1,3,1,3,1,0,1,3,2,0,1,1,1,1,1,1,2,2,0,0
16.3,2,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,0,1,0